iter	CrossEntropy
0	0.5790986332
1	0.4937985274
2	0.4299980039
3	0.3818774277
4	0.3455051001
5	0.3179332946
6	0.2844456296
7	0.2615764989
8	0.2513546879
9	0.243297469
10	0.232421685
11	0.216020198
12	0.2052233742
13	0.1995426076
14	0.1953528995
15	0.190924392
16	0.188851949
17	0.1859034452
18	0.1852137198
19	0.1836325799
20	0.1830214433
21	0.1817764922
22	0.1812106977
23	0.1804311762
24	0.1792249104
25	0.1783208407
26	0.1776776901
27	0.1769869992
28	0.1765337711
29	0.1761896175
30	0.1760644599
31	0.1758723041
32	0.1757871228
33	0.1757210167
34	0.1753655996
35	0.1753049042
36	0.1749167659
37	0.17457243
38	0.1743777428
39	0.1739544677
40	0.1738465849
41	0.1736476418
42	0.1730016176
43	0.1729095791
44	0.1728144543
45	0.1727613997
46	0.1723831503
47	0.1720286997
48	0.1718950427
49	0.1714591322
50	0.1713730421
51	0.1711293863
52	0.1709765181
53	0.1709179144
54	0.1706679654
55	0.1705395202
56	0.1705124072
57	0.1704419368
58	0.1702162082
59	0.1701706244
60	0.1699360816
61	0.169935832
62	0.1697601819
63	0.1697079501
64	0.1696910781
65	0.1694815579
66	0.1694121754
67	0.1693803226
68	0.1691873105
69	0.1691534518
70	0.1691268802
71	0.1691266908
72	0.1689095543
73	0.1686400371
74	0.1685357141
75	0.1681527755
76	0.1680347385
77	0.1679529673
78	0.1678499425
79	0.1678056684
80	0.1677404203
81	0.1673446074
82	0.167188203
83	0.1669202014
84	0.1668797177
85	0.1667555967
86	0.16669888
87	0.166289096
88	0.1662372851
89	0.1659853626
90	0.1659422744
91	0.1657995823
92	0.1651149442
93	0.1649543258
94	0.1648957406
95	0.1648333284
96	0.1644161302
97	0.1643729139
98	0.1641698042
99	0.1641241664
100	0.1640578545
101	0.1638980329
102	0.1637361344
103	0.1633855572
104	0.1632842615
105	0.1630849108
106	0.1629144305
107	0.1628738048
108	0.16275165
109	0.162208646
110	0.1617800474
111	0.1616096835
112	0.161356672
113	0.1609861534
114	0.160283716
115	0.1602367701
116	0.1601170266
117	0.1600109143
118	0.1596007135
119	0.1594073294
120	0.1592961838
121	0.1590837649
122	0.1589686203
123	0.1584354851
124	0.1582235458
125	0.1579471806
126	0.1579437722
127	0.1578158931
128	0.1576444187
129	0.1576016823
130	0.1573621273
131	0.1572285129
132	0.1571631167
133	0.1570360654
134	0.1570056025
135	0.1569330421
136	0.1568445121
137	0.1563736703
138	0.1561437584
139	0.1559674721
140	0.1557404614
141	0.1553808791
142	0.1552668681
143	0.1549897976
144	0.1549335384
145	0.1549084019
146	0.1546654036
147	0.1543241052
148	0.1542322156
149	0.1542135745
150	0.1541472446
151	0.1536256507
152	0.1532487266
153	0.1532077851
154	0.1529743477
155	0.1527249057
156	0.1526892931
157	0.1524847064
158	0.152087391
159	0.1519087682
160	0.1515143432
161	0.151379518
162	0.1512778041
163	0.1511021326
164	0.1505614606
165	0.1505444578
166	0.1502013092
167	0.1501714829
168	0.1501485614
169	0.1500888595
170	0.1498438705
171	0.1495713081
172	0.1490312098
173	0.1487723224
174	0.1486862745
175	0.148533488
176	0.1484083298
177	0.1483591605
178	0.1482942232
179	0.1482335506
180	0.1478777972
181	0.1475314673
182	0.1473877138
183	0.1472294991
184	0.1471882305
185	0.1469156564
186	0.1466403149
187	0.1464129676
188	0.146411186
189	0.1460010257
190	0.1457384161
191	0.1455792704
192	0.1453846031
193	0.1453642018
194	0.1451168127
195	0.1449492035
196	0.1449399404
197	0.1448157629
198	0.144584785
199	0.1442752164
200	0.1440583416
201	0.1439972758
202	0.1438323124
203	0.143464984
204	0.1434079752
205	0.1431290723
206	0.1430727467
207	0.1430478127
208	0.1429325027
209	0.142521181
210	0.1422880949
211	0.1420426448
212	0.1419044516
213	0.1417206099
214	0.1416898871
215	0.1411867519
216	0.1411330433
217	0.1410274258
218	0.1410174323
219	0.1409877445
220	0.1405837574
221	0.1403341786
222	0.1402199444
223	0.1400858619
224	0.1400220785
225	0.139799873
226	0.1397400431
227	0.1394414869
228	0.1394159979
229	0.1391975334
230	0.1391458838
231	0.1390592521
232	0.1390331324
233	0.1390113238
234	0.1388149403
235	0.1385060987
236	0.1383714393
237	0.1382197879
238	0.1381021547
239	0.1376574248
240	0.1375230456
241	0.1374012885
242	0.1370290944
243	0.136943726
244	0.1367692423
245	0.1364147496
246	0.1363647314
247	0.1361546257
248	0.1359765787
249	0.1359647954
250	0.1359002849
251	0.1358321004
252	0.135751692
253	0.1355866241
254	0.1354120944
255	0.1351755745
256	0.1351326735
257	0.1350452093
258	0.1348174639
259	0.1347119758
260	0.1346888148
261	0.1345686276
262	0.1345328258
263	0.1344267711
264	0.1343026085
265	0.1342003785
266	0.1339336781
267	0.1337074489
268	0.1334197789
269	0.1329093643
270	0.1328977263
271	0.1327585671
272	0.13251276
273	0.1321053302
274	0.1319720345
275	0.1315915293
276	0.1314607937
277	0.1312608368
278	0.13100847
279	0.1309952805
280	0.1308886716
281	0.1306173219
282	0.130557978
283	0.1304327585
284	0.1303585987
285	0.1302346654
286	0.1299548874
287	0.1298932354
288	0.1295742686
289	0.1294444885
290	0.1294033789
291	0.1291994187
292	0.1289135096
293	0.1288263894
294	0.1286166972
295	0.1283562447
296	0.1282992146
297	0.1279197819
298	0.1276302922
299	0.127166411
300	0.1271173887
301	0.1268639304
302	0.1267623807
303	0.1265890979
304	0.1263047735
305	0.1262572601
306	0.125975965
307	0.1259371495
308	0.1257944694
309	0.1255923469
310	0.1253675809
311	0.1253148161
312	0.1249327225
313	0.1244866058
314	0.1244062938
315	0.1240725936
316	0.1240332979
317	0.1239224286
318	0.123821999
319	0.1236490643
320	0.1234732392
321	0.1233103577
322	0.1230837213
323	0.1229246444
324	0.1225726042
325	0.1222748845
326	0.1220108118
327	0.121912831
328	0.1215700804
329	0.1215595215
330	0.1215091619
331	0.1214143474
332	0.1213857092
333	0.1212077636
334	0.1209269536
335	0.1208814573
336	0.1208335443
337	0.120746721
338	0.1203789271
339	0.1202479509
340	0.1202365291
341	0.1202221856
342	0.1201319172
343	0.1199984565
344	0.1197690456
345	0.119652564
346	0.1193014086
347	0.1190199919
348	0.1189138817
349	0.1187141636
350	0.1185752434
351	0.1185002016
352	0.1182812893
353	0.1181105802
354	0.1179800584
355	0.1177406821
356	0.1176603884
357	0.1173422082
358	0.1172902457
359	0.1172674483
360	0.1172423779
361	0.1172180425
362	0.1168465743
363	0.1166825255
364	0.1166741895
365	0.1164841069
366	0.1164486158
367	0.1164383357
368	0.116235442
369	0.1160590732
370	0.1157034241
371	0.115642681
372	0.1156277291
373	0.1154002222
374	0.1152283114
375	0.1151428394
376	0.1151317546
377	0.1145506765
378	0.1144564999
379	0.1140754063
380	0.1139148796
381	0.1138825336
382	0.1137460904
383	0.1136575258
384	0.1136501472
385	0.1136127391
386	0.1135199457
387	0.1133875599
388	0.1133529936
389	0.1133068667
390	0.1130973997
391	0.1130732342
392	0.1129906245
393	0.1128120206
394	0.112713511
395	0.1126300659
396	0.1126040852
397	0.1124905575
