iter	Passed	Remaining
0	20	14484
1	31	10879
2	34	8080
3	41	7276
4	45	6321
5	48	5643
6	58	5763
7	66	5748
8	73	5609
9	80	5585
10	91	5705
11	100	5749
12	109	5802
13	120	5899
14	129	5916
15	139	5961
16	148	5962
17	158	5998
18	168	6055
19	178	6055
20	185	5990
21	194	6009
22	204	6029
23	214	6052
24	224	6062
25	236	6121
26	246	6135
27	256	6146
28	266	6160
29	277	6198
30	287	6213
31	298	6237
32	308	6244
33	313	6148
34	324	6156
35	330	6096
36	340	6106
37	351	6119
38	361	6132
39	373	6161
40	384	6180
41	392	6152
42	402	6156
43	413	6171
44	424	6176
45	434	6184
46	445	6183
47	455	6185
48	465	6182
49	475	6183
50	485	6172
51	495	6170
52	506	6180
53	515	6167
54	526	6174
55	537	6178
56	547	6174
57	557	6165
58	566	6155
59	574	6125
60	584	6120
61	587	6045
62	596	6028
63	606	6027
64	617	6029
65	627	6025
66	640	6047
67	648	6029
68	658	6018
69	668	6014
70	679	6018
71	684	5974
72	694	5962
73	704	5961
74	714	5951
75	724	5952
76	734	5946
77	745	5945
78	756	5945
79	763	5917
80	775	5924
81	785	5919
82	794	5906
83	804	5902
84	815	5898
85	824	5889
86	835	5884
87	846	5885
88	855	5875
89	864	5862
90	875	5857
91	885	5854
92	896	5850
93	905	5839
94	917	5844
95	927	5837
96	939	5841
97	950	5838
98	961	5838
99	971	5830
100	980	5816
101	992	5816
102	1003	5814
103	1013	5810
104	1025	5811
105	1045	5860
106	1108	6143
107	1137	6235
108	1161	6299
109	1178	6323
110	1192	6325
111	1205	6329
112	1215	6312
113	1224	6296
114	1234	6279
115	1244	6265
116	1255	6254
117	1265	6242
118	1275	6228
119	1286	6215
120	1296	6205
121	1306	6191
122	1318	6186
123	1328	6173
124	1340	6164
125	1350	6152
126	1361	6144
127	1374	6140
128	1386	6137
129	1397	6125
130	1413	6139
131	1424	6129
132	1435	6120
133	1445	6106
134	1455	6092
135	1466	6079
136	1477	6071
137	1487	6056
138	1497	6043
139	1507	6030
140	1517	6017
141	1527	6003
142	1537	5989
143	1547	5975
144	1560	5971
145	1569	5957
146	1579	5943
147	1590	5931
148	1599	5916
149	1609	5903
150	1620	5890
151	1629	5874
152	1639	5862
153	1650	5851
154	1661	5841
155	1673	5834
156	1683	5823
157	1695	5814
158	1706	5808
159	1717	5797
160	1728	5786
161	1738	5773
162	1748	5761
163	1759	5751
164	1769	5737
165	1779	5724
166	1790	5715
167	1800	5702
168	1812	5694
169	1823	5683
170	1835	5678
171	1847	5671
172	1857	5658
173	1867	5645
174	1878	5634
175	1888	5622
176	1899	5612
177	1909	5600
178	1920	5588
179	1931	5579
180	1943	5572
181	1953	5559
182	1964	5550
